Asset,TimeFrame,Time,Open,High,Low,Close,Year,Quarter,Month,Week
EURJPY,H4,1993-04-26 21:00,137.840,138.300,135.730,137.720,1993,2,4,17
EURJPY,H4,1993-04-27 21:00,137.730,139.010,136.930,138.330,1993,2,4,17
EURJPY,H4,1993-04-28 21:00,138.370,139.040,137.310,137.580,1993,2,4,17
EURJPY,H4,1993-04-29 21:00,137.620,137.860,136.580,137.140,1993,2,4,17
EURJPY,H4,1993-05-02 21:00,136.600,137.260,136.050,136.980,1993,2,5,17
EURJPY,H4,1993-05-03 21:00,136.980,137.400,136.580,136.800,1993,2,5,18
EURJPY,H4,1993-05-04 21:00,136.770,137.200,136.210,136.410,1993,2,5,18
EURJPY,H4,1993-05-05 21:00,136.350,136.850,136.150,136.480,1993,2,5,18
EURJPY,H4,1993-05-06 21:00,136.410,137.160,135.990,136.120,1993,2,5,18
EURJPY,H4,1993-05-09 21:00,136.420,136.650,135.750,135.880,1993,2,5,18
EURJPY,H4,1993-05-10 21:00,135.860,135.940,135.040,135.050,1993,2,5,19
EURJPY,H4,1993-05-11 21:00,135.040,136.140,134.870,135.450,1993,2,5,19
EURJPY,H4,1993-05-12 21:00,135.400,135.820,134.820,135.510,1993,2,5,19
EURJPY,H4,1993-05-13 21:00,135.510,136.080,135.100,135.190,1993,2,5,19
EURJPY,H4,1993-05-16 21:00,135.490,135.490,134.720,134.870,1993,2,5,19
EURJPY,H4,1993-05-17 21:00,135.170,135.170,134.100,134.190,1993,2,5,20
EURJPY,H4,1993-05-18 21:00,134.270,134.760,132.970,133.460,1993,2,5,20
EURJPY,H4,1993-05-19 21:00,133.430,134.070,133.130,133.930,1993,2,5,20
EURJPY,H4,1993-05-20 21:00,133.220,133.870,132.310,132.750,1993,2,5,20
EURJPY,H4,1993-05-23 21:00,132.770,132.910,131.730,132.290,1993,2,5,20
EURJPY,H4,1993-05-24 21:00,132.280,132.490,130.850,130.910,1993,2,5,21
EURJPY,H4,1993-05-25 21:00,131.000,131.120,129.930,130.230,1993,2,5,21
EURJPY,H4,1993-05-26 21:00,130.210,131.230,129.890,131.130,1993,2,5,21
EURJPY,H4,1993-05-27 21:00,131.150,132.420,130.620,131.800,1993,2,5,21
EURJPY,H4,1993-05-30 21:00,132.390,132.460,131.500,131.610,1993,2,5,21
EURJPY,H4,1993-05-31 21:00,132.140,132.390,130.900,132.130,1993,2,5,22
EURJPY,H4,1993-06-01 21:00,132.120,132.360,130.990,131.220,1993,2,6,22
EURJPY,H4,1993-06-02 21:00,131.230,131.960,130.950,131.350,1993,2,6,22
EURJPY,H4,1993-06-03 21:00,131.350,131.660,129.450,129.470,1993,2,6,22
EURJPY,H4,1993-06-06 21:00,129.620,129.820,128.960,129.500,1993,2,6,22
EURJPY,H4,1993-06-07 21:00,129.490,129.610,127.660,127.780,1993,2,6,23
EURJPY,H4,1993-06-08 21:00,127.750,128.030,127.010,127.260,1993,2,6,23
EURJPY,H4,1993-06-09 21:00,127.290,127.590,126.440,127.220,1993,2,6,23
EURJPY,H4,1993-06-10 21:00,127.220,128.200,127.090,127.610,1993,2,6,23
EURJPY,H4,1993-06-13 21:00,127.450,127.450,125.970,126.280,1993,2,6,23
EURJPY,H4,1993-06-14 21:00,126.350,127.290,125.440,125.870,1993,2,6,24
EURJPY,H4,1993-06-15 21:00,125.780,126.530,125.480,125.790,1993,2,6,24
EURJPY,H4,1993-06-16 21:00,125.750,126.880,125.700,126.420,1993,2,6,24
EURJPY,H4,1993-06-17 21:00,126.360,128.000,126.190,127.560,1993,2,6,24
EURJPY,H4,1993-06-20 21:00,127.290,129.140,127.140,128.080,1993,2,6,24
EURJPY,H4,1993-06-21 21:00,128.090,129.110,127.500,127.720,1993,2,6,25
EURJPY,H4,1993-06-22 21:00,127.770,128.040,125.590,125.630,1993,2,6,25
EURJPY,H4,1993-06-23 21:00,125.710,126.120,124.140,124.460,1993,2,6,25
EURJPY,H4,1993-06-24 21:00,124.420,124.610,121.650,121.710,1993,2,6,25
EURJPY,H4,1993-06-27 21:00,121.020,122.980,120.530,122.830,1993,2,6,25
EURJPY,H4,1993-06-28 21:00,122.810,124.260,121.890,123.140,1993,2,6,26
EURJPY,H4,1993-06-29 21:00,123.120,123.820,121.890,122.920,1993,2,6,26
EURJPY,H4,1993-06-30 21:00,122.950,124.630,122.420,124.430,1993,2,6,26
EURJPY,H4,1993-07-01 21:00,124.370,125.420,124.140,125.080,1993,3,7,26
EURJPY,H4,1993-07-04 21:00,125.480,125.730,124.990,125.730,1993,3,7,26
EURJPY,H4,1993-07-05 21:00,125.560,125.750,123.880,125.080,1993,3,7,27
EURJPY,H4,1993-07-06 21:00,125.090,125.110,123.110,123.290,1993,3,7,27
EURJPY,H4,1993-07-07 21:00,123.290,124.980,122.570,124.790,1993,3,7,27
EURJPY,H4,1993-07-08 21:00,124.820,124.950,123.330,124.790,1993,3,7,27
EURJPY,H4,1993-07-11 21:00,125.110,125.240,123.490,123.650,1993,3,7,27
EURJPY,H4,1993-07-12 21:00,123.650,123.700,122.650,122.860,1993,3,7,28
EURJPY,H4,1993-07-13 21:00,122.810,123.320,121.950,122.010,1993,3,7,28
EURJPY,H4,1993-07-14 21:00,122.050,123.060,121.980,122.920,1993,3,7,28
EURJPY,H4,1993-07-15 21:00,122.850,123.130,121.770,122.370,1993,3,7,28
EURJPY,H4,1993-07-18 21:00,122.960,124.590,122.760,124.410,1993,3,7,28
EURJPY,H4,1993-07-19 21:00,124.320,124.880,123.790,124.550,1993,3,7,29
EURJPY,H4,1993-07-20 21:00,124.530,125.280,124.310,124.610,1993,3,7,29
EURJPY,H4,1993-07-21 21:00,124.660,124.660,120.660,121.120,1993,3,7,29
EURJPY,H4,1993-07-22 21:00,121.120,122.190,120.880,121.610,1993,3,7,29
EURJPY,H4,1993-07-25 21:00,121.640,121.810,120.340,120.930,1993,3,7,29
EURJPY,H4,1993-07-26 21:00,120.950,121.480,119.950,120.330,1993,3,7,30
EURJPY,H4,1993-07-27 21:00,120.370,120.740,119.510,120.610,1993,3,7,30
EURJPY,H4,1993-07-28 21:00,120.670,121.530,119.070,119.650,1993,3,7,30
EURJPY,H4,1993-07-29 21:00,119.550,119.680,117.130,117.990,1993,3,7,30
EURJPY,H4,1993-08-01 21:00,117.190,119.840,117.180,119.430,1993,3,8,30
EURJPY,H4,1993-08-02 21:00,119.450,120.130,119.040,119.590,1993,3,8,31
EURJPY,H4,1993-08-03 21:00,119.630,120.300,119.570,120.110,1993,3,8,31
EURJPY,H4,1993-08-04 21:00,120.050,120.280,118.650,119.370,1993,3,8,31
EURJPY,H4,1993-08-05 21:00,119.390,120.760,118.960,120.170,1993,3,8,31
EURJPY,H4,1993-08-08 21:00,120.500,121.130,120.390,120.830,1993,3,8,31
EURJPY,H4,1993-08-09 21:00,120.810,120.850,119.110,119.170,1993,3,8,32
EURJPY,H4,1993-08-10 21:00,119.090,119.400,117.450,117.810,1993,3,8,32
EURJPY,H4,1993-08-11 21:00,117.830,118.130,117.020,117.510,1993,3,8,32
EURJPY,H4,1993-08-12 21:00,117.510,117.510,116.090,116.400,1993,3,8,32
EURJPY,H4,1993-08-15 21:00,116.170,117.940,115.580,117.700,1993,3,8,32
EURJPY,H4,1993-08-16 21:00,117.740,118.500,116.510,116.680,1993,3,8,33
EURJPY,H4,1993-08-17 21:00,116.660,118.570,116.530,118.210,1993,3,8,33
EURJPY,H4,1993-08-18 21:00,118.330,123.320,117.610,122.500,1993,3,8,33
EURJPY,H4,1993-08-19 21:00,122.360,122.700,120.740,121.830,1993,3,8,33
EURJPY,H4,1993-08-22 21:00,121.280,121.390,119.350,119.690,1993,3,8,33
EURJPY,H4,1993-08-23 21:00,119.590,121.020,119.170,120.950,1993,3,8,34
EURJPY,H4,1993-08-24 21:00,120.960,122.280,120.560,121.830,1993,3,8,34
