Asset,TimeFrame,Time,Open,High,Low,Close,Year,Quarter,Month,Week
GBPJPY,H4,1993-04-18 21:00,169.780,171.310,169.440,170.720,1993,2,4,15
GBPJPY,H4,1993-04-19 21:00,170.760,172.240,170.090,170.790,1993,2,4,16
GBPJPY,H4,1993-04-20 21:00,170.690,171.790,170.050,170.540,1993,2,4,16
GBPJPY,H4,1993-04-21 21:00,169.840,171.870,168.790,170.370,1993,2,4,16
GBPJPY,H4,1993-04-22 21:00,172.160,174.670,171.640,174.360,1993,2,4,16
GBPJPY,H4,1993-04-25 21:00,174.630,176.250,174.630,175.490,1993,2,4,16
GBPJPY,H4,1993-04-26 21:00,174.770,176.260,173.790,175.570,1993,2,4,17
GBPJPY,H4,1993-04-27 21:00,176.170,176.660,174.940,176.600,1993,2,4,17
GBPJPY,H4,1993-04-28 21:00,176.010,176.570,174.940,175.470,1993,2,4,17
GBPJPY,H4,1993-04-29 21:00,174.580,175.070,173.850,175.020,1993,2,4,17
GBPJPY,H4,1993-05-02 21:00,174.680,174.880,174.680,174.880,1993,2,5,17
GBPJPY,H4,1993-05-03 21:00,173.340,174.220,172.410,172.610,1993,2,5,18
GBPJPY,H4,1993-05-04 21:00,172.910,173.310,172.110,172.580,1993,2,5,18
GBPJPY,H4,1993-05-05 21:00,172.710,175.570,172.420,173.250,1993,2,5,18
GBPJPY,H4,1993-05-06 21:00,173.960,175.090,172.960,173.630,1993,2,5,18
GBPJPY,H4,1993-05-09 21:00,172.600,172.750,171.080,171.680,1993,2,5,18
GBPJPY,H4,1993-05-10 21:00,170.630,172.350,170.630,171.470,1993,2,5,19
GBPJPY,H4,1993-05-11 21:00,172.180,172.610,170.870,171.150,1993,2,5,19
GBPJPY,H4,1993-05-12 21:00,171.270,171.430,169.840,170.040,1993,2,5,19
GBPJPY,H4,1993-05-13 21:00,170.170,171.240,169.850,170.560,1993,2,5,19
GBPJPY,H4,1993-05-16 21:00,170.920,171.510,170.400,170.770,1993,2,5,19
GBPJPY,H4,1993-05-17 21:00,170.520,171.200,170.120,170.870,1993,2,5,20
GBPJPY,H4,1993-05-18 21:00,171.480,172.210,169.840,170.710,1993,2,5,20
GBPJPY,H4,1993-05-19 21:00,170.270,172.230,170.240,172.220,1993,2,5,20
GBPJPY,H4,1993-05-20 21:00,172.040,172.260,169.550,170.120,1993,2,5,20
GBPJPY,H4,1993-05-23 21:00,170.020,170.250,168.840,169.570,1993,2,5,20
GBPJPY,H4,1993-05-24 21:00,170.170,170.390,168.840,169.050,1993,2,5,21
GBPJPY,H4,1993-05-25 21:00,167.890,168.610,167.550,168.160,1993,2,5,21
GBPJPY,H4,1993-05-26 21:00,168.190,168.630,166.840,167.290,1993,2,5,21
GBPJPY,H4,1993-05-27 21:00,166.850,168.240,166.340,167.340,1993,2,5,21
GBPJPY,H4,1993-05-31 21:00,166.790,167.500,165.770,166.070,1993,2,5,22
GBPJPY,H4,1993-06-01 21:00,165.820,166.700,164.950,165.800,1993,2,6,22
GBPJPY,H4,1993-06-02 21:00,166.080,166.340,164.990,165.160,1993,2,6,22
GBPJPY,H4,1993-06-03 21:00,165.840,165.980,162.580,162.740,1993,2,6,22
GBPJPY,H4,1993-06-06 21:00,162.640,163.750,162.490,162.840,1993,2,6,22
GBPJPY,H4,1993-06-07 21:00,161.720,162.200,160.930,161.800,1993,2,6,23
GBPJPY,H4,1993-06-08 21:00,161.550,162.230,160.600,161.170,1993,2,6,23
GBPJPY,H4,1993-06-09 21:00,160.350,162.180,159.800,161.960,1993,2,6,23
GBPJPY,H4,1993-06-10 21:00,162.400,163.960,161.430,162.110,1993,2,6,23
GBPJPY,H4,1993-06-13 21:00,160.500,161.320,160.220,160.660,1993,2,6,23
GBPJPY,H4,1993-06-14 21:00,160.650,161.940,160.350,160.510,1993,2,6,24
GBPJPY,H4,1993-06-15 21:00,161.170,161.550,159.310,160.220,1993,2,6,24
GBPJPY,H4,1993-06-16 21:00,160.900,162.400,160.110,162.130,1993,2,6,24
GBPJPY,H4,1993-06-17 21:00,162.260,164.260,161.780,164.260,1993,2,6,24
GBPJPY,H4,1993-06-20 21:00,164.460,166.070,163.660,165.250,1993,2,6,24
GBPJPY,H4,1993-06-21 21:00,165.190,165.760,163.410,163.890,1993,2,6,25
GBPJPY,H4,1993-06-22 21:00,162.290,163.110,160.240,160.500,1993,2,6,25
GBPJPY,H4,1993-06-23 21:00,159.880,160.780,159.090,160.550,1993,2,6,25
GBPJPY,H4,1993-06-24 21:00,158.390,158.580,156.570,156.760,1993,2,6,25
GBPJPY,H4,1993-06-27 21:00,156.330,158.950,156.080,158.560,1993,2,6,25
GBPJPY,H4,1993-06-28 21:00,159.000,161.790,159.000,161.010,1993,2,6,26
GBPJPY,H4,1993-06-29 21:00,160.650,161.190,158.760,159.470,1993,2,6,26
GBPJPY,H4,1993-06-30 21:00,161.750,162.740,159.860,162.740,1993,2,6,26
GBPJPY,H4,1993-07-01 21:00,163.260,164.210,162.330,163.510,1993,3,7,26
GBPJPY,H4,1993-07-04 21:00,164.380,165.040,163.860,164.610,1993,3,7,26
GBPJPY,H4,1993-07-05 21:00,162.990,163.850,162.330,163.400,1993,3,7,27
GBPJPY,H4,1993-07-06 21:00,163.340,163.810,160.470,160.960,1993,3,7,27
GBPJPY,H4,1993-07-07 21:00,161.450,163.240,160.920,162.870,1993,3,7,27
GBPJPY,H4,1993-07-08 21:00,161.790,162.830,160.510,162.600,1993,3,7,27
GBPJPY,H4,1993-07-11 21:00,162.820,163.270,161.440,162.210,1993,3,7,27
GBPJPY,H4,1993-07-12 21:00,160.730,162.450,160.460,161.960,1993,3,7,28
GBPJPY,H4,1993-07-13 21:00,161.400,162.470,160.870,161.230,1993,3,7,28
GBPJPY,H4,1993-07-14 21:00,161.240,161.540,160.220,161.050,1993,3,7,28
GBPJPY,H4,1993-07-15 21:00,160.510,161.010,159.240,159.700,1993,3,7,28
GBPJPY,H4,1993-07-18 21:00,160.280,162.920,159.920,162.550,1993,3,7,28
GBPJPY,H4,1993-07-19 21:00,162.450,164.290,162.260,163.520,1993,3,7,29
GBPJPY,H4,1993-07-20 21:00,163.430,165.130,163.140,164.070,1993,3,7,29
GBPJPY,H4,1993-07-21 21:00,163.520,164.000,160.450,162.400,1993,3,7,29
GBPJPY,H4,1993-07-22 21:00,159.470,161.280,159.130,160.160,1993,3,7,29
GBPJPY,H4,1993-07-25 21:00,160.080,160.570,159.350,159.940,1993,3,7,29
GBPJPY,H4,1993-07-26 21:00,160.110,160.280,157.760,158.010,1993,3,7,30
GBPJPY,H4,1993-07-27 21:00,157.980,158.140,156.680,157.520,1993,3,7,30
GBPJPY,H4,1993-07-28 21:00,158.550,159.690,157.030,158.000,1993,3,7,30
GBPJPY,H4,1993-07-29 21:00,156.700,156.810,154.130,156.010,1993,3,7,30
GBPJPY,H4,1993-08-01 21:00,154.840,156.070,154.630,155.970,1993,3,8,30
GBPJPY,H4,1993-08-02 21:00,156.150,157.470,155.870,156.830,1993,3,8,31
GBPJPY,H4,1993-08-03 21:00,157.080,157.900,156.750,157.550,1993,3,8,31
GBPJPY,H4,1993-08-04 21:00,157.200,157.450,155.260,155.640,1993,3,8,31
GBPJPY,H4,1993-08-05 21:00,155.670,156.820,155.070,156.580,1993,3,8,31
GBPJPY,H4,1993-08-08 21:00,156.320,157.140,156.190,156.590,1993,3,8,31
GBPJPY,H4,1993-08-09 21:00,155.270,155.710,153.650,153.880,1993,3,8,32
GBPJPY,H4,1993-08-10 21:00,152.560,153.550,152.210,152.440,1993,3,8,32
GBPJPY,H4,1993-08-11 21:00,152.190,152.790,150.230,150.980,1993,3,8,32
GBPJPY,H4,1993-08-12 21:00,149.900,150.730,148.770,149.090,1993,3,8,32
GBPJPY,H4,1993-08-15 21:00,148.120,150.760,147.430,150.590,1993,3,8,32
GBPJPY,H4,1993-08-16 21:00,150.860,152.830,150.430,150.670,1993,3,8,33
GBPJPY,H4,1993-08-17 21:00,151.140,153.900,151.030,153.490,1993,3,8,33
GBPJPY,H4,1993-08-18 21:00,154.370,158.090,153.400,157.940,1993,3,8,33
GBPJPY,H4,1993-08-19 21:00,156.920,159.080,156.920,158.520,1993,3,8,33
GBPJPY,H4,1993-08-22 21:00,156.490,157.220,154.630,155.430,1993,3,8,33
GBPJPY,H4,1993-08-23 21:00,156.100,156.370,154.770,155.380,1993,3,8,34
GBPJPY,H4,1993-08-24 21:00,156.300,157.400,155.190,155.530,1993,3,8,34
GBPJPY,H4,1993-08-25 21:00,156.040,158.570,156.020,157.730,1993,3,8,34
GBPJPY,H4,1993-08-26 21:00,157.780,158.250,155.560,156.030,1993,3,8,34
